PO_NO,PL_NO,DLVRY_START_DT,DLVRY_END_DT,DLVRY_QTY,DROP_FLAG,EXTND_DP,RNOTE_QTY,IMMS_PO_SR
H1570054,33561023,27-07-15,28-10-15,185,N,28-10-15,0,
H1570055,33561023,27-07-15,28-09-15,15,Y,25-05-16,0,
H1570056,37987410,27-07-15,15-09-15,3488,N,10-10-15,0,
H1570057,33591122,28-07-15,23-10-15,1859,Y,23-10-15,0,
H1570057,33591133,28-07-15,23-10-15,1816,Y,23-10-15,0,
H1570058,33591122,28-07-15,23-10-15,2788,N,23-10-15,0,
H1570058,33591133,28-07-15,23-10-15,2724,N,23-10-15,0,
H1570059,33591122,28-07-15,23-10-15,1161,N,25-02-16,0,
H1570059,33591133,28-07-15,23-10-15,1134,N,25-02-16,0,
H1570060,33595562,01-08-15,03-10-15,16,Y,03-10-15,0,
H1570061,33594739,15-02-16,30-04-16,6,N,30-04-16,0,
H1570061,33594739,03-08-15,30-09-15,10,N,30-11-15,0,
H1570061,33594739,01-10-15,31-12-15,9,N,31-12-15,0,
H1570062,33593334,15-02-16,30-04-16,7,N,30-04-16,0,
H1570062,33593334,03-08-15,30-09-15,10,N,30-11-15,0,
H1570062,33593334,01-10-15,31-12-15,12,N,31-12-15,0,
H1570063,33594739,03-08-15,31-10-15,6,N,31-10-15,0,
H1570064,33593334,03-08-15,30-09-15,8,N,15-12-15,0,
H1570065,33593334,03-08-15,30-11-15,4,N,01-12-16,0,
H1570065,33594739,03-08-15,30-11-15,4,N,24-01-17,0,
H1570066,33593334,15-02-16,30-04-16,4,N,30-04-16,0,
H1570066,33593334,03-08-15,30-11-15,14,N,15-01-16,0,
H1570066,33594739,15-02-16,30-04-16,4,N,30-04-16,0,
H1570066,33594739,03-08-15,30-11-15,12,N,15-01-16,0,
H1570067,33680358,01-04-16,20-05-16,6335,N,20-05-16,0,
H1570068,33581514,04-08-15,07-10-15,500,N,07-10-15,0,
H1570069,33581514,04-08-15,07-09-15,1767,N,26-10-15,0,
H1570070,33593358,05-08-15,19-09-15,15,N,19-09-15,0,
H1570070,33593358,01-02-16,20-04-16,32,N,20-04-16,0,
H1570070,33595239,01-02-16,20-04-16,76,N,20-04-16,0,
H1570071,33600880,01-04-16,20-10-16,25,N,27-04-17,0,
H1570072,33592081,07-08-15,08-09-15,7,N,08-09-15,0,
H1570072,33592093,07-08-15,08-09-15,13,N,08-09-15,0,
H1570072,33592100,07-08-15,08-09-15,5,N,08-09-15,0,
H1570072,33680838,07-08-15,08-09-15,6,N,08-09-15,0,
H1570072,33680840,07-08-15,08-09-15,6,N,08-09-15,0,
H1570072,33680851,07-08-15,08-09-15,13,N,08-09-15,0,
H1570072,33680863,07-08-15,08-09-15,1,N,08-09-15,0,
H1570073,33680826,07-08-15,08-09-15,3,N,11-09-15,0,
H1570074,33593851,01-02-17,30-03-17,765,N,27-06-17,0,
H1570075,33691230,07-08-15,10-09-15,2163,N,10-09-15,0,
H1570076,33593747,01-02-16,20-04-16,228,N,20-04-16,0,
H1570077,33595185,10-08-15,16-10-15,67,N,13-11-15,0,
H1570077,33595185,01-02-16,19-03-16,66,N,19-03-16,0,
H1570077,33596256,10-08-15,16-10-15,67,N,13-11-15,0,
H1570077,33596256,01-02-16,19-03-16,66,N,19-03-16,0,
H1570078,33566914,10-08-15,16-10-15,350,N,14-11-15,0,
H1570078,33566914,01-02-16,19-03-16,414,N,30-08-16,0,
H1570079,33593899,01-02-16,20-04-16,999,N,20-04-16,0,
H1570079,33595150,01-02-16,20-04-16,104,N,20-04-16,0,
H1570080,33592263,11-08-15,14-09-15,37,N,14-09-15,0,
H1570080,33592275,11-08-15,14-09-15,76,N,14-09-15,0,
H1570080,33592287,11-08-15,14-09-15,19,N,14-09-15,0,
H1570080,33592299,11-08-15,14-09-15,35,N,14-09-15,0,
H1570080,33592305,11-08-15,14-09-15,6,N,14-09-15,0,
H1570080,33592317,11-08-15,14-09-15,43,N,14-09-15,0,
H1570080,33592329,11-08-15,14-09-15,33,N,14-09-15,0,
H1570080,33592330,11-08-15,14-09-15,75,N,14-09-15,0,
H1570081,33613369,01-03-16,20-04-16,1745,N,20-04-16,0,
H1570082,33596712,13-08-15,25-09-15,2,N,09-07-16,0,
H1570083,33593590,01-02-16,20-04-16,1297,N,20-04-16,0,
H1570084,33596712,13-08-15,14-11-15,4,N,03-05-16,0,
H1570084,33596712,15-02-16,30-04-16,1,N,30-04-16,0,
H1570085,33596712,13-08-15,05-10-15,4,N,05-10-15,0,
H1570086,33596712,13-08-15,14-11-15,27,N,14-11-15,0,
H1570087,33594820,13-08-15,14-10-15,2000,N,14-10-15,0,
H1570087,33594820,01-03-16,20-04-16,11731,N,20-04-16,0,
H1570088,33690601,14-08-15,12-10-15,1000,N,20-11-15,0,
H1570088,33690601,01-02-16,19-03-16,1324,N,19-03-16,0,
H1570089,33574029,14-08-15,20-10-15,19,N,20-10-15,0,
H1570090,33574029,14-08-15,20-10-15,13,N,20-10-15,0,
H1570091,33581514,14-08-15,17-09-15,1400,N,17-09-15,0,
H1570092,33595331,01-02-16,19-03-16,16,N,31-05-16,0,
H1570092,33595495,01-02-16,19-03-16,22,N,31-08-16,0,
H1570092,33596268,14-08-15,21-10-15,25,N,31-05-16,0,
H1570092,33596268,01-02-16,19-03-16,30,N,31-05-16,0,
H1570093,33592743,17-08-15,20-11-15,45,N,30-03-16,0,
H1570093,33592743,01-02-16,09-04-16,80,N,19-05-16,0,
H1570094,33590023,18-08-15,16-11-15,63,N,28-05-16,0,
H1570095,33680012,01-02-16,30-05-16,2634,N,30-05-16,0,
H1570095,33680346,19-08-15,16-11-15,2200,N,16-11-15,0,
H1570095,33680346,01-02-16,30-04-16,3948,N,30-04-16,0,
H1570096,33510994,19-08-15,20-11-15,1583,N,15-10-16,0,
H1570097,33613357,01-04-16,20-07-16,2718,N,20-07-16,0,
H1570098,33596980,21-08-15,30-11-15,15,N,30-11-15,0,
H1570098,33597558,21-08-15,30-11-15,9,N,30-11-15,0,
H1570099,33597637,21-08-15,30-10-15,45,N,30-10-15,0,
H1570100,33612470,22-08-15,30-12-15,451,N,29-02-16,0,
H1570101,33612470,22-08-15,19-03-16,45,Y,19-03-16,0,
H1570102,33595628,01-04-16,20-05-16,281,N,30-05-16,0,
H1570103,33691230,01-02-16,21-03-16,2191,N,21-03-16,0,
H1570104,33581794,01-03-16,16-05-16,811,N,31-05-16,0,
H1570105,33594004,01-02-16,20-04-16,682,N,20-04-16,0,
H1570106,33555898,01-02-16,21-03-16,2221,N,02-12-16,0,
H1570107,33510830,24-08-15,27-11-15,120,N,27-11-15,0,
H1570108,33593700,01-04-16,20-06-16,6568,N,24-08-16,0,
H1570109,33613266,01-02-16,20-05-16,2882,N,20-05-16,0,
H1570110,33594715,25-08-15,12-07-16,18,N,12-07-16,0,
H1570110,33594715,01-02-16,19-03-16,34,N,19-03-16,0,
H1570110,33594715,05-06-17,31-07-17,14,N,31-07-17,0,
H1570111,33574157,01-03-16,20-04-16,38,N,07-01-17,0,
H1570112,33595082,01-02-16,20-04-16,685,N,20-04-16,0,
H1570112,33595100,01-02-16,20-04-16,257,N,20-04-16,0,
H1570113,30631178,01-02-16,19-03-16,7,N,25-10-18,0,
H1570113,33565776,01-02-16,31-12-16,36,N,30-06-17,0,
H1570113,33565776,01-05-17,20-07-17,59,N,25-10-18,0,
H1570114,33565430,26-08-15,31-10-15,2,Y,13-05-16,0,
H1570115,33565430,26-08-15,31-10-15,2,Y,31-10-15,0,
H1570116,33565430,01-04-16,30-06-16,12,N,30-06-16,0,
H1570116,33565430,26-08-15,31-10-15,20,N,31-10-15,0,
H1570116,33565430,02-11-15,30-01-16,21,N,30-01-16,0,
H1570117,33565430,01-04-16,30-06-16,8,Y,19-01-17,0,
H1570117,33565430,26-08-15,30-11-15,15,Y,19-01-17,0,
H1570117,33565430,01-12-15,27-02-16,12,Y,17-01-17,0,
H1570118,33565235,26-08-15,24-11-15,3,Y,05-07-16,0,
H1570119,33565235,01-02-16,30-04-16,40,N,30-04-16,0,
H1570120,33565235,01-02-16,30-04-16,22,N,30-04-16,0,
H1570121,30438160,27-08-15,30-09-15,300,N,30-09-15,0,
H1570122,35982299,01-02-16,19-03-16,400,N,19-03-16,0,
H1570122,35982299,01-04-16,20-06-16,393,N,20-06-16,0,
H1570123,37984378,01-02-16,14-05-16,1568,N,14-05-16,0,
H1570124,33595653,01-09-15,15-10-15,5,Y,02-07-16,0,
H1570125,33595653,01-09-15,15-10-15,5,Y,15-10-15,0,
H1570126,33574030,01-09-15,20-04-16,12,N,20-04-16,0,
H1570126,33574030,01-03-16,20-04-16,5,N,20-04-16,0,
H1570127,33594168,02-11-15,27-02-16,1,Y,27-02-16,0,
H1570128,33594168,02-11-15,27-02-16,1,Y,27-02-16,0,
H1570129,33594168,02-11-15,27-02-16,15,N,27-02-16,0,
H1570130,33594168,02-11-15,27-02-16,16,N,22-06-16,0,
H1570131,33581447,04-09-15,07-11-15,12,N,10-11-15,0,
H1570131,33581447,01-02-16,09-04-16,6,N,15-11-16,0,
H1570132,33600247,04-09-15,07-11-15,17,N,07-11-15,0,
H1570133,33590102,01-02-16,09-04-16,23,N,09-04-16,0,
H1570133,33590102,02-05-16,09-07-16,23,N,09-07-16,0,
H1570134,33554754,05-09-15,05-12-15,19,N,05-12-15,0,
H1570135,33554754,05-09-15,31-12-15,12,N,31-12-15,0,
H1570136,33554754,05-09-15,05-12-15,2,Y,05-12-15,0,
H1570137,33594296,10-09-15,26-10-15,20,N,31-12-15,0,
H1570137,33594296,01-02-16,09-04-16,5,N,09-04-16,0,
H1570137,33594296,01-02-16,23-10-17,19,N,23-10-17,0,
H1570138,33594296,10-09-15,30-03-16,23,N,30-03-16,0,
H1570139,33592196,10-09-15,14-11-15,88,N,14-11-15,0,
H1570140,33594223,12-09-15,14-12-15,20,N,14-12-15,0,
H1570140,33594223,01-02-16,19-03-16,12,N,19-03-16,0,
H1570140,33596104,12-09-15,14-12-15,20,N,14-12-15,0,
H1570140,33596104,01-02-16,19-03-16,12,N,19-03-16,0,
H1570141,33593085,12-09-15,14-12-15,12,N,14-12-15,0,
H1570142,33593425,12-09-15,14-12-15,12,N,14-12-15,0,
H1570143,33592123,14-09-15,17-11-15,12,N,17-11-15,0,
H1570143,33592123,01-02-16,09-04-16,6,N,09-04-16,0,
H1570144,33600399,14-09-15,23-03-16,22,N,23-03-16,0,
H1570144,33600399,01-03-16,20-04-16,10,N,20-04-16,0,
H1570144,33600399,01-10-18,31-01-19,10,N,31-01-19,0,
H1570144,33600399,22-11-17,30-01-18,1,N,30-01-18,0,
H1570144,33600399,15-02-18,28-04-18,13,N,19-05-18,0,
H1570145,33581150,14-09-15,14-12-15,406,N,14-12-15,0,
H1570146,33581150,14-09-15,14-12-15,610,N,14-12-15,0,
H1570147,33581150,14-09-15,14-12-15,126,Y,31-12-16,0,
H1570148,33581150,14-09-15,14-12-15,127,Y,14-12-15,0,
H1570149,33573955,14-09-15,05-11-15,7,N,05-11-15,0,
H1570150,33573955,01-03-16,20-04-16,5,N,29-10-16,0,
H1570150,33573955,14-09-15,05-11-15,5,N,05-11-15,0,
H1570151,33593220,29-12-15,19-03-16,59,N,19-03-16,0,
H1570151,33593220,01-02-16,19-03-16,41,N,30-06-16,0,
H1570151,33593220,01-04-16,20-05-16,109,N,30-06-16,0,
H1570151,33595537,14-09-15,14-11-15,60,N,30-06-16,0,
H1570151,33595537,01-02-16,19-03-16,29,N,30-06-16,0,
H1570152,33593220,20-11-15,19-03-16,50,N,19-03-16,0,
H1570152,33593220,01-04-16,20-05-16,62,N,20-05-16,0,
H1570152,33595537,14-09-15,14-11-15,25,N,14-11-15,0,
H1570152,33595537,01-02-16,19-03-16,23,N,19-03-16,0,
H1570153,33600181,16-09-15,15-12-15,137,N,15-12-15,0,
H1570154,35984016,15-09-15,18-12-15,13,Y,18-12-15,0,
H1570155,33594867,01-04-16,30-01-17,8,N,30-01-17,0,
H1570156,33594867,01-07-16,31-10-16,7,N,31-10-16,0,
H1570157,33565752,15-09-15,05-12-15,31,N,01-09-18,0,
H1570157,33565752,01-02-16,19-03-16,34,N,01-09-18,0,
H1570158,33612031,15-09-15,14-11-15,3,N,14-11-15,0,
H1570159,33612031,21-10-15,30-11-15,5,N,30-11-15,0,
H1570159,33612031,15-09-15,20-10-15,10,N,20-10-15,0,
H1570160,33594442,21-09-15,23-12-15,1978,N,23-12-15,0,
H1570161,33614805,21-09-15,27-02-16,35,N,27-02-16,0,
H1570161,33614805,01-03-16,30-06-16,30,N,30-06-16,0,
H1570162,33565636,22-09-15,28-12-15,41,N,28-12-15,0,
H1570162,33565636,01-04-16,20-06-16,41,N,20-06-16,0,
H1570162,33565867,22-09-15,28-12-15,20,N,28-12-15,0,
H1570162,33565867,01-04-16,20-06-16,21,N,20-06-16,0,
H1570162,35984030,22-09-15,28-12-15,130,N,28-12-15,0,
H1570162,35984030,01-04-16,20-06-16,132,N,20-06-16,0,
H1570163,30567040,23-09-15,31-12-15,13,Y,14-09-16,0,
H1570163,30567040,01-02-16,20-04-16,15,Y,14-09-16,0,
H1570163,30567040,02-05-16,20-07-16,15,Y,20-07-16,0,
H1570164,33593358,23-09-15,26-11-15,32,N,30-04-16,0,
H1570165,33596992,01-02-16,09-04-16,633,N,09-04-16,0,
H1570166,33594958,01-02-16,09-04-16,45,N,09-04-16,0,
H1570167,33614817,23-09-15,10-11-15,26,N,10-11-15,0,
H1570167,33614817,01-04-16,20-05-16,40,N,20-05-16,0,
H1570167,33614817,01-06-16,20-09-16,40,N,20-09-16,0,
H1570168,33614817,15-02-16,19-03-16,69,Y,10-11-16,0,
H1570168,33614817,23-09-15,10-11-15,40,Y,10-11-16,0,
H1570168,33614817,02-05-16,31-08-16,50,Y,10-11-16,0,
H1570169,33511056,23-09-15,31-12-15,200,N,29-08-16,0,
H1570169,33511056,15-02-16,19-03-16,1401,N,29-08-16,0,
H1570169,33511056,01-04-16,20-05-16,3000,N,18-07-16,0,
H1570169,33511056,01-06-16,20-08-16,3000,N,20-08-16,0,
H1570170,33612031,25-09-15,14-11-15,2,N,14-11-15,0,
H1570171,33593450,01-02-16,10-03-16,21,N,13-07-16,0,
H1570171,33593450,01-04-16,20-06-16,20,N,05-10-16,0,
H1570172,33593450,01-02-16,10-03-16,14,N,10-03-16,0,
H1570172,33593450,01-04-16,20-06-16,14,N,20-06-16,0,
H1570173,33594946,25-09-15,28-12-15,71,N,28-12-15,0,
H1570174,33594946,01-04-16,20-06-16,107,N,17-08-16,0,
H1570175,33581320,29-09-15,31-12-15,494,N,31-12-15,0,
H1570176,30617832,01-04-17,30-06-17,54,N,30-06-17,0,
H1570176,35982445,01-04-16,15-06-16,5425,N,31-08-16,0,
H1570177,35982457,01-04-16,15-06-16,4501,N,30-06-16,0,
H1570178,35982573,01-04-16,10-06-16,2175,N,10-06-16,0,
H1570178,35982585,01-04-16,10-06-16,2275,N,10-06-16,0,
H1570179,33574522,01-02-16,19-04-16,98,Y,08-06-16,0,
H1570180,33594193,30-09-15,31-12-15,1538,N,31-12-15,0,
H1570180,33594569,30-09-15,31-12-15,49,N,31-12-15,0,
H1570180,33594983,30-09-15,31-12-15,3453,N,21-03-16,0,
H1570180,33595458,30-09-15,31-12-15,458,N,31-12-15,0,
H1570181,33690601,30-09-15,30-10-15,200,N,30-10-15,0,
H1570182,33510969,01-03-16,20-05-16,7667,N,20-05-16,0,
H1570183,33555345,01-03-16,20-05-16,7384,N,20-05-16,0,
H1570184,33541838,01-03-16,05-04-17,1611,N,05-04-17,0,
H1570184,33612791,01-03-16,20-05-16,152,N,25-03-17,0,
H1570184,33613345,01-03-16,20-05-16,357,N,30-11-16,0,
H1570185,33595586,30-10-15,30-12-15,5,N,30-12-15,0,
H1570185,33595586,01-02-16,20-04-16,3,N,20-04-16,0,
H1570186,33595586,30-09-15,30-12-15,1,N,30-12-15,0,
H1570187,33595586,30-09-15,30-12-15,3,N,30-12-15,0,
H1570188,33595586,30-09-15,30-12-15,3,N,30-12-15,0,
H1570188,33595586,01-02-16,20-04-16,2,N,14-01-17,0,
H1570189,33600260,29-09-15,29-10-15,10,N,29-10-15,0,
H1570190,33575794,01-02-16,10-05-16,28,N,10-05-16,0,
H1570191,33594454,01-02-16,30-04-16,1217,N,12-07-16,0,
H1570192,33510957,01-10-15,29-12-15,663,N,15-03-16,0,
H1570192,33593012,01-10-15,29-12-15,89,N,15-03-16,0,
H1570192,33594909,01-10-15,29-12-15,81,N,15-03-16,0,
H1570193,33592792,01-10-15,30-12-15,45,N,15-03-16,0,
H1570193,33592792,20-02-16,30-04-16,50,N,30-04-16,0,
H1570194,33594284,01-02-16,25-04-16,615,N,25-04-16,0,
H1570194,35982305,01-10-15,30-11-15,1450,N,30-01-16,0,
H1570194,35982305,01-02-16,25-04-16,9846,N,25-04-16,0,
H1570195,33613140,01-02-16,21-03-16,2017,N,17-05-16,0,
H1570195,33690560,01-10-15,31-12-15,1250,N,17-05-16,0,
H1570195,33690560,01-02-16,21-03-16,1295,N,21-03-16,0,
H1570196,33592081,03-10-15,30-10-15,16,N,30-11-15,0,
H1570196,33680826,03-10-15,30-10-15,5,N,04-01-16,0,
H1570196,33680840,03-10-15,30-10-15,5,N,04-01-16,0,
H1570197,33592093,03-10-15,30-10-15,15,N,10-12-15,0,
H1570197,33680838,03-10-15,30-10-15,10,N,28-11-15,0,
H1570197,33680851,03-10-15,30-10-15,20,N,28-11-15,0,
H1570197,33680863,03-10-15,30-10-15,1,N,28-11-15,0,
H1570198,33595574,15-03-16,10-05-16,66,N,20-05-16,0,
H1570199,33561849,01-04-16,20-06-16,325,Y,20-06-16,0,
H1570200,37984330,01-02-16,20-04-16,580,N,20-04-16,0,
H1570201,33564139,01-02-16,20-04-16,210,N,20-04-16,0,
H1570202,33564190,01-02-16,09-04-16,58,N,09-04-16,0,
H1570203,30440282,01-01-16,11-04-16,212,N,11-04-16,0,
H1570204,33612572,05-10-15,09-11-15,25,N,09-11-15,0,
H1570205,33594375,06-10-15,31-12-15,25,N,28-12-16,0,
H1570205,33594375,01-03-16,30-06-16,163,N,28-12-16,0,
H1570206,33565909,07-10-15,09-12-15,30,N,09-12-15,0,
H1570206,33565909,15-03-16,20-05-16,30,N,22-07-16,0,
H1570207,33580200,01-02-16,20-06-16,40,N,20-06-16,0,
H1570208,33600260,07-10-15,10-11-15,3,N,10-11-15,0,
H1570209,33593413,08-10-15,30-11-15,8,N,30-11-15,0,
H1570209,33593413,01-04-16,20-06-16,2,N,20-06-16,0,
H1570210,33593413,01-10-15,20-02-16,1,Y,21-06-17,0,1
H1570211,33593413,08-10-15,30-11-15,4,N,30-11-15,0,
H1570211,33593413,01-04-16,20-06-16,3,N,20-06-16,0,
H1570212,33594600,08-10-15,05-01-16,8,N,10-02-16,0,
H1570213,33594600,08-10-15,05-01-16,11,N,05-01-16,0,
H1570214,33594600,08-10-15,05-01-16,4,N,30-04-16,0,
H1570215,33594600,08-10-15,06-01-16,2,N,06-01-16,0,
H1570216,35982548,01-02-16,10-06-16,27,N,10-06-16,0,
H1570217,35982548,01-02-16,09-04-16,20,N,09-04-16,0,
H1570217,35982548,02-05-16,20-07-16,20,N,20-07-16,0,
H1570218,33597595,01-04-16,20-05-16,45,N,20-05-16,0,
H1570219,33594752,01-02-16,30-04-16,23,N,30-04-16,0,
H1570220,33594752,01-02-16,23-06-16,34,N,23-06-16,0,
H1570221,30440142,02-01-17,20-03-17,1499,N,17-08-17,0,
H1570222,30440142,01-04-16,20-06-16,2248,N,20-06-16,0,
H1570223,33574029,14-10-15,20-06-16,3,N,20-06-16,0,
H1570223,33574509,14-10-15,20-06-16,1,N,20-06-16,0,
H1570224,33574029,01-02-16,20-04-16,20,N,20-04-16,0,
H1570224,33574029,02-05-16,20-07-16,19,N,20-07-16,0,
H1570224,33574509,01-02-16,20-04-16,4,N,20-04-16,0,
H1570224,33574509,02-05-16,20-07-16,3,N,20-07-16,0,
H1570225,33574029,01-02-16,20-04-16,13,Y,20-04-16,0,
H1570225,33574029,02-05-16,20-07-16,13,Y,20-07-16,0,
H1570225,33574509,01-02-16,20-04-16,2,N,20-04-16,0,
H1570225,33574509,02-05-16,20-07-16,2,N,20-07-16,0,
H1570226,33612778,01-04-16,20-07-16,2259,N,20-07-16,0,
H1570226,33612778,01-02-16,19-03-16,2000,N,19-03-16,0,
H1570227,33614805,14-10-15,30-11-15,23,N,30-11-15,0,
H1570227,33614805,01-03-16,30-06-16,20,N,30-06-16,0,
H1570228,33614805,14-10-15,27-02-16,12,N,26-12-17,0,
H1570229,33611920,01-04-16,20-05-16,370,N,20-05-16,0,
H1570230,33611920,01-04-16,20-05-16,246,N,31-05-16,0,
H1570231,33593632,02-05-16,20-08-16,21,N,20-08-16,0,
H1570232,33581393,01-02-16,20-04-16,1794,N,20-04-16,0,
H1570233,33581393,01-02-16,20-05-16,966,N,15-10-16,0,
H1570234,33590072,15-10-15,21-12-15,47,N,31-05-17,0,
H1570235,33690625,01-08-16,29-10-16,167,N,29-10-16,0,
H1570235,33690625,02-11-16,31-12-16,167,N,31-12-16,0,
H1570236,33690625,01-08-16,31-12-16,180,N,31-12-16,0,
H1570237,33594934,15-10-15,19-12-15,100,Y,05-07-16,0,
H1570237,33594934,01-02-16,20-06-16,824,Y,05-07-16,0,
H1570238,33596906,15-10-15,30-12-15,41,N,31-05-16,0,
H1570239,33593218,01-02-16,20-04-16,66,N,20-04-16,0,
H1570240,33593061,01-02-16,20-04-16,892,N,20-04-16,0,
H1570241,33565946,01-02-16,19-03-16,20,N,31-08-16,0,
H1570241,33565946,01-04-16,20-06-16,20,N,31-08-16,0,
H1570242,33565259,15-10-15,15-01-16,29,N,15-01-16,0,
H1570243,33595781,15-10-15,28-12-15,86,N,28-12-15,0,
H1570244,33595010,01-02-17,20-04-17,515,N,28-07-17,0,
H1570245,33557720,15-02-16,20-05-16,85,N,20-05-16,0,
H1570246,33557720,16-10-15,19-12-15,100,N,21-03-16,0,
H1570246,33557720,01-04-16,20-05-16,59,N,02-08-16,0,
H1570247,33581617,01-02-16,09-04-16,326,N,31-08-16,0,
H1570248,33610174,01-02-16,09-04-16,700,N,11-06-16,0,
H1570248,33610174,16-10-15,12-01-16,341,N,12-01-16,0,
H1570248,33690674,01-02-16,09-04-16,79,N,11-06-16,0,
H1570249,33594387,01-04-16,20-07-16,647,N,20-07-16,0,
H1570250,33597625,16-10-15,31-12-15,7,Y,16-04-16,0,
H1570251,33597625,16-10-15,30-01-16,36,N,30-01-16,0,
H1570252,33597625,16-10-15,30-01-16,20,N,16-04-16,0,
H1570253,33597625,16-10-15,31-12-15,7,Y,31-12-15,0,
H1570254,33574273,16-10-15,21-12-15,9,N,21-12-15,0,
H1570255,33574273,16-10-15,21-12-15,1,N,21-12-15,0,
H1570256,33574273,16-10-15,21-12-15,2,N,21-12-15,0,
H1570257,33565739,17-10-15,21-11-15,8,N,21-11-15,0,
H1570257,33565739,01-02-16,20-04-16,17,N,20-04-16,0,
H1570258,33594879,01-02-16,19-03-16,1329,N,19-03-16,0,
H1570258,33594879,02-05-16,20-07-16,1700,N,20-07-16,0,
H1570259,33594879,01-03-16,20-07-16,1010,N,20-07-16,0,
H1570260,33594879,01-03-16,20-07-16,1010,N,20-07-16,0,
H1570261,33593334,20-10-15,20-01-16,3,N,20-01-16,0,
H1570262,33581058,01-03-16,11-04-16,1644,N,11-04-16,0,
H1570262,33581629,01-03-16,11-04-16,1319,N,11-04-16,0,
H1570263,33594041,20-10-15,31-12-15,6,N,31-12-15,0,
H1570263,33594041,01-01-16,27-02-16,6,N,27-02-16,0,
H1570264,33600375,01-01-16,27-02-16,6,N,27-02-16,0,
H1570264,33600375,20-10-15,31-12-15,6,N,31-12-15,0,
H1570265,33680176,01-04-16,20-06-16,108,N,20-06-16,0,
H1570265,33680188,01-04-16,20-06-16,99,N,20-06-16,0,
H1570266,33680176,01-04-16,20-06-16,163,N,20-06-16,0,
H1570266,33680188,01-04-16,20-06-16,149,N,20-06-16,0,
H1570267,35984016,21-10-15,21-12-15,12,N,21-12-15,0,
H1570267,35984016,15-03-16,30-04-16,12,N,30-04-16,0,
H1570268,30648282,21-10-15,26-12-15,7,N,26-12-15,0,
H1570268,30648282,01-02-16,20-04-16,10,N,20-04-16,0,
H1570269,30648282,21-10-15,26-12-15,6,N,26-12-15,0,
H1570269,30648282,01-02-16,20-04-16,6,N,20-04-16,0,
H1570270,33557731,21-10-15,21-12-15,14,N,30-11-16,0,
H1570270,33557731,01-02-16,20-04-16,18,N,30-11-16,0,
H1570271,33566203,23-10-15,30-05-16,10,N,05-10-16,0,
H1570272,33566203,23-10-15,13-08-16,115,N,26-09-16,0,
H1570272,33566367,23-10-15,30-11-15,28,N,26-09-16,0,
H1570273,33566203,23-10-15,15-12-15,76,N,09-01-16,0,
H1570274,33600260,01-02-16,20-04-16,20,N,20-04-16,0,
H1570274,33600260,02-05-16,20-08-16,20,N,20-08-16,0,
H1570275,33600260,23-10-15,30-11-15,13,N,30-11-15,0,
H1570275,33600260,01-12-15,31-12-15,13,N,31-12-15,0,
H1570276,33565648,24-10-15,14-12-15,12,N,14-12-15,0,
H1570277,33596980,01-04-16,20-06-16,47,N,04-08-16,0,
H1570277,33597558,01-04-16,20-06-16,30,N,04-08-16,0,
H1570277,33597637,01-04-16,20-06-16,22,N,04-08-16,0,
H1570278,33597352,01-02-16,10-05-16,172,N,08-04-17,0,
H1570279,33594703,01-02-16,31-03-16,43,N,31-03-16,0,
H1570280,33596128,01-02-16,19-03-16,252,N,19-03-16,0,
H1570281,33593140,01-04-16,20-06-16,211,N,31-08-16,0,
H1570281,33595550,01-04-16,20-06-16,76,N,31-08-16,0,
H1570282,37987586,28-10-15,31-12-15,1116,N,31-12-15,0,
H1570283,33594995,01-02-16,19-03-16,147,N,19-03-16,0,
H1570284,33613680,01-02-16,19-03-16,460,N,10-09-16,0,
H1570285,33565399,29-10-15,15-12-15,33,N,15-12-15,0,
H1570285,33565399,01-02-16,20-04-16,18,N,20-04-16,0,
H1570285,33565399,02-05-16,20-08-16,10,N,20-08-16,0,
H1570286,33600077,30-10-15,02-02-16,410,N,15-06-16,0,
H1570287,33581540,01-04-16,20-06-16,3774,N,20-06-16,0,
H1570288,33564103,23-11-15,20-04-16,176,N,20-04-16,0,
H1570289,33595367,02-04-16,06-06-17,5,N,06-06-17,0,1
H1570289,33595367,25-04-19,30-05-19,2,N,03-09-20,0,2
H1570289,33595367,02-11-15,30-01-16,24,N,31-03-16,0,3
H1570290,33595367,02-11-15,31-12-15,3,N,17-03-16,0,
H1570290,33595367,02-11-15,06-06-17,1,N,06-06-17,0,
H1570291,33595367,02-11-15,30-01-16,5,N,27-02-16,0,
H1570291,33595367,02-11-15,06-06-17,2,N,06-06-17,0,
H1570292,33557329,03-11-15,04-02-16,1277,N,04-02-16,0,
H1570293,33594247,04-11-15,22-01-16,2000,N,22-01-16,0,
H1570293,33594247,23-01-16,20-06-16,2850,N,20-06-16,0,
H1570294,33594247,04-11-15,22-01-16,2000,N,22-01-16,0,
H1570294,33594247,23-01-16,20-06-16,1233,N,20-06-16,0,
H1570295,33574170,15-02-16,19-03-16,4,Y,22-11-16,0,
H1570295,33574170,01-04-16,30-06-16,4,Y,22-11-16,0,
H1570295,33574170,01-07-16,09-02-17,3,Y,09-02-17,0,
H1570295,33574182,04-11-15,24-12-15,12,Y,24-12-15,0,
H1570295,33574182,15-02-16,19-03-16,5,Y,19-03-16,0,
H1570295,33574182,01-04-16,30-06-16,5,Y,30-06-16,0,
H1570295,33574182,01-07-16,31-08-16,4,Y,31-08-16,0,
H1570295,33574182,01-09-16,30-11-16,4,Y,30-11-16,0,
